time,hs_obs,swe_obs,swe_ref
2016-09-01 06:00,0,NaN,0
2016-09-02 06:00,0,NaN,0
2016-09-03 06:00,0,NaN,0
2016-09-04 06:00,0,NaN,0
2016-09-05 06:00,0,NaN,0
2016-09-06 06:00,0,NaN,0
2016-09-07 06:00,0,NaN,0
2016-09-08 06:00,0,NaN,0
2016-09-09 06:00,0,NaN,0
2016-09-10 06:00,0,NaN,0
2016-09-11 06:00,0,NaN,0
2016-09-12 06:00,0,NaN,0
2016-09-13 06:00,0,NaN,0
2016-09-14 06:00,0,NaN,0
2016-09-15 06:00,0,NaN,0
2016-09-16 06:00,0,NaN,0
2016-09-17 06:00,1,NaN,1.137
2016-09-18 06:00,0,NaN,0
2016-09-19 06:00,1,NaN,1.137
2016-09-20 06:00,0,NaN,0
2016-09-21 06:00,0,NaN,0
2016-09-22 06:00,0,NaN,0
2016-09-23 06:00,0,NaN,0
2016-09-24 06:00,0,NaN,0
2016-09-25 06:00,0,NaN,0
2016-09-26 06:00,0,NaN,0
2016-09-27 06:00,0,NaN,0
2016-09-28 06:00,0,NaN,0
2016-09-29 06:00,0,NaN,0
2016-09-30 06:00,0,NaN,0
2016-10-01 06:00,0,NaN,0
2016-10-02 06:00,0,NaN,0
2016-10-03 06:00,2,NaN,2.274
2016-10-04 06:00,0,NaN,0
2016-10-05 06:00,0,NaN,0
2016-10-06 06:00,0,NaN,0
2016-10-07 06:00,0,NaN,0
2016-10-08 06:00,0,NaN,0
2016-10-09 06:00,1,NaN,1.137
2016-10-10 06:00,7,NaN,8.18048209224427
2016-10-11 06:00,5,NaN,8.18048209224427
2016-10-12 06:00,8,NaN,11.7791446599033
2016-10-13 06:00,5,NaN,9.83420493469227
2016-10-14 06:00,1,NaN,1.99173875418348
2016-10-15 06:00,1,NaN,1.99173875418348
2016-10-16 06:00,0,NaN,0
2016-10-17 06:00,0,NaN,0
2016-10-18 06:00,4,NaN,4.548
2016-10-19 06:00,0,NaN,0
2016-10-20 06:00,1,NaN,1.137
2016-10-21 06:00,0,NaN,0
2016-10-22 06:00,2,NaN,2.274
2016-10-23 06:00,0,NaN,0
2016-10-24 06:00,0,NaN,0
2016-10-25 06:00,0,NaN,0
2016-10-26 06:00,0,NaN,0
2016-10-27 06:00,1,NaN,1.137
2016-10-28 06:00,0,NaN,0
2016-10-29 06:00,0,NaN,0
2016-10-30 06:00,0,NaN,0
2016-10-31 06:00,0,NaN,0
2016-11-01 06:00,0,NaN,0
2016-11-02 06:00,0,NaN,0
2016-11-03 06:00,0,NaN,0
2016-11-04 06:00,0,NaN,0
2016-11-05 06:00,0,NaN,0
2016-11-06 06:00,5,NaN,5.685
2016-11-07 06:00,33,NaN,38.6284104612213
2016-11-08 06:00,35,NaN,47.7530644873785
2016-11-09 06:00,23,NaN,47.7530644873785
2016-11-10 06:00,26,NaN,51.4363890299457
2016-11-11 06:00,39,NaN,67.1647575044428
2016-11-12 06:00,37,NaN,67.1647575044428
2016-11-13 06:00,38,NaN,70.1998785620315
2016-11-14 06:00,35,NaN,70.1998785620315
2016-11-15 06:00,33,55.75,70.1998785620315
2016-11-16 06:00,31,NaN,69.588837017719
2016-11-17 06:00,26,NaN,61.8033817715619
2016-11-18 06:00,24,NaN,58.9117363280795
2016-11-19 06:00,32,NaN,68.1034357894406
2016-11-20 06:00,35,NaN,73.4429529007814
2016-11-21 06:00,31,NaN,73.4429529007814
2016-11-22 06:00,30,NaN,73.4429529007814
2016-11-23 06:00,29,NaN,72.9279154025214
2016-11-24 06:00,28,NaN,72.0417049667272
2016-11-25 06:00,27,NaN,70.9070223388084
2016-11-26 06:00,28,NaN,70.9070223388084
2016-11-27 06:00,33,NaN,77.8380556405084
2016-11-28 06:00,33,NaN,77.8380556405084
2016-11-29 06:00,33,NaN,77.8380556405084
2016-11-30 06:00,32,NaN,77.8380556405084
2016-12-01 06:00,33,81.8,77.8380556405084
2016-12-02 06:00,33,NaN,77.8380556405084
2016-12-03 06:00,32,NaN,77.8380556405084
2016-12-04 06:00,31,NaN,77.8380556405084
2016-12-05 06:00,31,NaN,77.8380556405084
2016-12-06 06:00,31,NaN,77.8380556405084
2016-12-07 06:00,30,NaN,77.8380556405084
2016-12-08 06:00,30,NaN,77.8380556405084
2016-12-09 06:00,30,NaN,77.8380556405084
2016-12-10 06:00,30,NaN,77.8380556405084
2016-12-11 06:00,30,NaN,77.8380556405084
2016-12-12 06:00,30,NaN,77.8380556405084
2016-12-13 06:00,30,84.5,77.8380556405084
2016-12-14 06:00,30,NaN,77.8380556405084
2016-12-15 06:00,30,NaN,77.8380556405084
2016-12-16 06:00,30,NaN,77.8380556405084
2016-12-17 06:00,30,NaN,77.8380556405084
2016-12-18 06:00,30,NaN,77.8380556405084
2016-12-19 06:00,38,NaN,87.3777427201164
2016-12-20 06:00,37,93.5,87.3777427201164
2016-12-21 06:00,36,NaN,87.3777427201164
2016-12-22 06:00,36,NaN,87.3777427201164
2016-12-23 06:00,36,NaN,87.3777427201164
2016-12-24 06:00,36,NaN,87.3777427201164
2016-12-25 06:00,39,NaN,91.6822627741074
2016-12-26 06:00,39,NaN,91.6822627741074
2016-12-27 06:00,42,NaN,96.4330289318413
2016-12-28 06:00,41,96.3,96.4330289318413
2016-12-29 06:00,40,NaN,96.4330289318413
2016-12-30 06:00,40,NaN,96.4330289318413
2016-12-31 06:00,40,NaN,96.4330289318413
2017-01-01 06:00,40,NaN,96.4330289318413
2017-01-02 06:00,39,NaN,96.4330289318413
2017-01-03 06:00,47,101.5,105.931165227919
2017-01-04 06:00,46,NaN,105.931165227919
2017-01-05 06:00,83,NaN,149.444208006665
2017-01-06 06:00,79,NaN,154.904406648091
2017-01-07 06:00,71,NaN,154.904406648091
2017-01-08 06:00,72,NaN,157.806225545795
2017-01-09 06:00,73,172.5,160.9429133578
2017-01-10 06:00,69,NaN,160.9429133578
2017-01-11 06:00,72,NaN,165.412379753596
